Hospital Name,Address,Contact Person,Mobile No,Email,Password
haama,LATAKIA-SYRIA,MARWADI UNIVERSITY,8485900858,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
hello,LATAKIA-SYRIA,MARWADI UNIVERSITY,erere,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
hello,LATAKIA-SYRIA,MARWADI UNIVERSITY,4343,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
MASA,SAUDIA ARABIA,MOHAMMAD,9898899898,masa@master.com,123
AHMADABAD,LATAKIA-SYRIA,MARWADI UNIVERSITY,8485900858,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
hello,LATAKIA-SYRIA,MARWADI UNIVERSITY,8485900858,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
hello,LATAKIA-SYRIA,MARWADI UNIVERSITY,8485900858,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
hello,LATAKIA-SYRIA,MARWADI UNIVERSITY,8485900858,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
hello,LATAKIA-SYRIA,MARWADI UNIVERSITY,8485900858,hello@master,123
AHMADABAD,LATAKIA-SYRIA,MARWADI UNIVERSITY,8485900858,nbhan.y7y@master.com,FVQ4.Ji3Hf5Rmc
